Date	Time	u_ref	t_ref	d_ref	precip	Qpar	t_canopy	d_canopy	p_atm	CO2_atm	Ts0	Tsurf	Troot	Zw	xylemScalar	NEEobs	Ec
2019212	0	1.70093078235094	15.21262	0.8479143375625828	0	0.06027692	9.776874	0.5935679947033312	73.71762	406.102014280576	4.820812	-0.13524999999999998	0.11274999999999999	-10	1	-999	-999
2019212	0.5	1.68513325799569	14.88558	0.8117052297221824	0	0.05511346	9.711256	0.5777504766909688	73.70942	406.087747121664	4.753503	-0.20425	0.041249999999999995	-10	1	-999	-999
2019212	1	1.66038378825541	14.74522	0.8080934649312151	0	0.06137979	9.614167	0.5766367948225726	73.69466	406.175606292286	4.7195835	-0.175	0.06775	-10	1	-999	-999
2019212	1.5	1.24258983461039	14.55477	0.7892471602500919	0	0.05706206	9.286376	0.5577299897377004	73.69823	406.494533043288	4.548813	-0.18875	0.052500000000000005	-10	1	-999	-999
2019212	2	1.59111162231389	14.47563	0.7889681475369175	0	0.05867109	9.079261	0.5526284304928475	73.70015	406.863279509397	4.502880500000001	-0.0735	0.16699999999999998	-10	1	-999	-999
2019212	2.5	1.2668641730907	14.20624	0.7613359927655405	0	0.05875591	8.557356	0.5238524716535673	73.70934	407.458343978473	4.273678	-0.009999999999999997	0.22999999999999998	-10	1	-999	-999
2019212	3	1.17379561938933	14.06871	0.7669627543406393	0	0.05816315	8.420897	0.5275488936294631	73.70452	407.959555730848	4.2153235	0.009749999999999998	0.251	-10	1	-999	-999
2019212	3.5	1.39245331922328	14.08782	0.7540294698574738	0	0.05977318	8.421686	0.5180387158372284	73.70433	408.185067751569	4.127718	-0.16625	0.07425	-10	1	-999	-999
2019212	4	1.24902251173916	13.80877	0.7289174858523798	0	0.06129754	8.066278	0.49778485955229973	73.7188	408.603842564232	4.030889	-0.004499999999999994	0.22999999999999998	-10	1	-999	-999
2019212	4.5	0.816944686631204	13.19951	0.6687095578886821	0	0.06332939	7.567388	0.4592761882640233	73.75792	410.048056691784	3.797194	0.026999999999999996	0.264	-10	1	-999	-999
2019212	5	0.569032424962434	12.76716	0.640424382241867	0	0.5886846	7.208031	0.44148405642603383	73.78481	410.981006870296	3.6466405	0.08524999999999999	0.32225	-10	1	-999	-999
2019212	5.5	0.4052376777323	12.81917	0.6365730778271319	0	10.78222	7.457211	0.44484836843145487	73.79756	411.486943385957	3.7892305	0.12125	0.354	-10	1	-999	-999
2019212	6	0.496382850273635	13.22282	0.7088162202921253	0	45.99859	8.84374	0.530060234877969	73.81153	411.229162635201	4.45887	0.074	0.30774999999999997	-10	1	-999	-999
2019212	6.5	0.82520054206718	14.70664	0.7986880430048016	0	89.4648	10.94535	0.6244387231440395	73.81636	408.361225270552	5.393425	-0.1585	0.0795	-10	1	-999	-999
2019212	7	0.942778250466514	15.75016	0.9626642314481796	0	165.3251	13.83759	0.8510450729238369	73.81886	406.836179752542	6.83417	-0.16925	0.06625	-10	1	-999	-999
2019212	7.5	0.930769853661308	17.9707	1.179210185517208	0	245.2081	18.6449	1.230139017271767	73.82092	405.269792563965	9.2667	-0.1115	0.11975	-10	1	-999	-999
2019212	8	1.14483866572288	18.05473	1.1986951456660495	0	243.8493	19.35126	1.299916706883281	73.82887	404.108375413256	9.679505	0.007749999999999996	0.23925	-10	1	-999	-999
2019212	8.5	1.25417796402715	19.48575	1.4349942910613838	0	383.0485	25.85745	2.1123436104934954	73.83813	403.941250976468	12.965725	0.074	0.30525	-10	1	-999	-999
2019212	9	1.19323625982374	20.05771	1.477787036598071	0	403.9821	29.86018	2.6521344726738976	73.8463	404.00715384438	14.921465	-0.017250000000000005	0.21525	-10	1	-999	-999
2019212	9.5	1.47543260397083	20.00667	1.5073954029304046	0	464.6626	31.8745	3.044604449438876	73.86134	403.036072012	15.877125000000001	-0.12025	0.11175	-10	1	-999	-999
2019212	10	1.1994596604811	21.33858	1.6379622570299952	0	460.0983	35.49231	3.731412089744442	73.87099	403.738495819647	17.717405000000003	-0.0575	0.17275	-10	1	-999	-999
2019212	10.5	1.26488552718869	21.81557	1.7817687540795273	0	455.804	35.54867	3.954570225787664	73.8702	404.480987798946	17.74971	-0.04925	0.1795	-10	1	-999	-999
2019212	11	1.35255954163671	21.80212	1.7713410795629194	0	478.467	36.63964	4.177872466926974	73.86343	404.719987284968	18.350695	0.06175	0.287	-10	1	-999	-999
2019212	11.5	1.17848012081953	22.18981	1.948610416588757	0	491.9304	37.87379	4.801019754707498	73.85711	404.33092478598	18.942645	0.011500000000000002	0.23850000000000002	-10	1	-999	-999
2019212	12	0.640705753870537	23.10832	2.1690792934956558	0	621.9802	43.37561	6.774691038048459	73.84026	405.248887076296	21.67143	-0.03275	0.1925	-10	1	-999	-999
2019212	12.5	0.620690541022948	23.77247	2.331736696785945	0	690.6954	47.51872	8.659855898748804	73.80736	406.321957590294	23.804485	0.09025	0.30524999999999997	-10	1	-999	-999
2019212	13	0.808294001371002	24.04346	2.2865146565604695	0	429.0851	41.87932	6.2402785212023435	73.77433	405.877930718246	21.06766	0.256	0.46175	-10	1	-999	-999
2019212	13.5	1.01175763603804	22.3992	1.881773361337566	0	66.05054	27.00005	2.477285338131391	73.77837	405.394209832484	14.069025	1.138	1.32675	-10	1	-999	-999
2019212	14	1.99877033779366	18.53263	1.0582735365599676	0	124.6567	23.91354	1.4721597767956376	73.84998	403.110682547114	12.880270000000001	1.847	2.0305	-10	1	-999	-999
2019212	14.5	1.12057000591514	16.3161	0.6498684590437183	0	101.0785	21.33858	0.889387863081269	73.91272	401.297015230749	11.33704	1.3355000000000001	1.54775	-10	1	-999	-999
2019212	15	0.367989968099953	15.97376	0.8394583733412627	0	127.8558	19.67392	1.0596402741101947	73.9125	401.297015230749	10.43996	1.206	1.42425	-10	1	-999	-999
