Date	Time	u_ref	t_ref	d_ref	precip	Qpar	t_canopy	d_canopy	p_atm	CO2_atm	Ts0	Tsurf	Troot	Zw	xylemScalar	NEEobs	Ec	xylenScalar
2019054	12	NA	NA	NA	0	NA	NA	NA	72.4	530.4257	NA	NaN	NaN	-10	0	-999	-999	1
2019054	12.5	NA	NA	NA	0	NA	NA	NA	72.4	528.8904	NA	NaN	NaN	-10	0	-999	-999	1
2019054	13	NA	NA	NA	0	NA	NA	NA	72.4	527.3292	NA	NaN	NaN	-10	0	-999	-999	1
2019054	13.5	NA	NA	NA	0	NA	NA	NA	72.4	527.0526	NA	NaN	NaN	-10	0	-999	-999	1
2019054	14	NA	NA	NA	0	NA	NA	NA	72.4	525.4745	NA	NaN	NaN	-10	0	-999	-999	1
2019054	14.5	NA	NA	NA	0	NA	NA	NA	72.4	527.1785	NA	NaN	NaN	-10	0	-999	-999	1
2019054	15	NA	NA	NA	0	NA	NA	NA	72.4	525.8204	NA	NaN	NaN	-10	0	-999	-999	1
2019054	15.5	NA	NA	NA	0	NA	NA	NA	72.4	526.7198	NA	NaN	NaN	-10	0	-999	-999	1
2019054	16	NA	NA	NA	0	NA	NA	NA	72.4	527.6397	NA	NaN	NaN	-10	0	-999	-999	1
2019054	16.5	NA	NA	NA	0	NA	NA	NA	72.4	530.1375	NA	NaN	NaN	-10	0	-999	-999	1
2019054	17	NA	NA	NA	0	NA	NA	NA	72.4	530.2484	NA	NaN	NaN	-10	0	-999	-999	1
2019054	17.5	NA	NA	NA	0	NA	NA	NA	72.4	530.6073	NA	NaN	NaN	-10	0	-999	-999	1
2019054	18	NA	NA	NA	0	NA	NA	NA	72.4	530.8115	NA	NaN	NaN	-10	0	-999	-999	1
2019054	18.5	NA	NA	NA	0	NA	NA	NA	72.4	530.9004	NA	NaN	NaN	-10	0	-999	-999	1
2019054	19	NA	NA	NA	0	NA	NA	NA	72.4	531.8502	NA	NaN	NaN	-10	0	-999	-999	1
